"Date","Price","Open","High","Low","Vol.","Change %"
"08/12/2018","57.18","57.75","62.21","48.93","18.03M","-0.99%"
"08/05/2018","57.75","72.97","76.71","55.12","14.95M","-20.85%"
"07/29/2018","72.97","84.33","85.46","72.29","9.37M","-13.47%"
"07/22/2018","84.33","84.19","90.70","81.20","10.80M","0.16%"
"07/15/2018","84.20","76.54","94.66","75.66","11.36M","10.00%"
"07/08/2018","76.54","85.05","85.66","74.76","10.37M","-9.99%"
"07/01/2018","85.04","81.28","89.59","78.14","10.17M","4.64%"
"06/24/2018","81.27","82.82","87.95","72.67","13.81M","-1.86%"
"06/17/2018","82.82","96.72","101.45","80.53","10.66M","-14.37%"
"06/10/2018","96.72","117.60","117.61","89.35","9.13M","-17.76%"
"06/03/2018","117.60","123.48","127.86","116.31","6.58M","-4.77%"
"05/27/2018","123.49","118.63","124.32","110.03","6.34M","4.10%"
"05/20/2018","118.63","135.16","140.57","115.18","6.66M","-12.24%"
"05/13/2018","135.16","141.88","152.63","129.18","8.38M","-4.51%"
"05/06/2018","141.54","178.61","183.88","131.07","10.22M","-20.72%"
"04/29/2018","178.53","152.14","183.51","142.92","9.33M","17.34%"
"04/22/2018","152.14","148.61","166.03","141.79","10.44M","2.33%"
"04/15/2018","148.69","126.52","156.82","125.18","10.02M","17.52%"
"04/08/2018","126.51","116.09","133.65","111.73","9.47M","8.98%"
"04/01/2018","116.09","116.33","137.02","109.88","9.00M","-0.22%"
"03/25/2018","116.34","159.24","162.08","109.97","11.80M","-26.94%"
"03/18/2018","159.23","152.02","178.70","139.18","13.12M","4.73%"
"03/11/2018","152.04","176.80","196.49","120.08","14.10M","-13.98%"
"03/04/2018","176.75","210.27","215.75","138.59","16.13M","-15.94%"
"02/25/2018","210.27","206.41","231.20","199.69","13.73M","1.87%"
"02/18/2018","206.41","228.75","251.12","182.44","18.73M","-9.64%"
"02/11/2018","228.44","155.02","236.51","141.68","17.78M","47.36%"
"02/04/2018","155.03","160.96","174.55","106.39","19.24M","-3.69%"
"01/28/2018","160.97","179.65","192.47","104.91","11.80M","-10.40%"
"01/21/2018","179.65","210.91","211.09","165.01","9.07M","-14.82%"
"01/14/2018","210.91","258.44","267.98","135.00","22.84M","-18.26%"
"01/07/2018","258.02","279.42","286.95","220.00","13.52M","-7.66%"
"12/31/2017","279.42","216.03","304.00","210.00","15.21M","29.34%"
"12/24/2017","216.03","293.03","295.99","206.00","15.05M","-26.28%"
"12/17/2017","293.03","306.86","380.00","144.00","40.08M","-4.51%"
"12/10/2017","306.86","160.95","420.00","135.45","55.78M","90.66%"
"12/03/2017","160.95","99.65","199.00","95.01","39.33M","61.52%"
